y_pred	y_true	y_cell	y_drug
0.7379348874092102	0.8464	ACH-000006	CRIZOTINIB
0.7997445464134216	0.669433	ACH-000006	GSK690693
0.7856290340423584	0.900781	ACH-000006	NVP-BEZ235
0.9619621634483337	0.977434	ACH-000006	PODOPHYLLOTOXIN
0.9392641186714172	0.979376	ACH-000006	SCH772984
0.9508659243583679	0.950065	ACH-000006	PICOLINICI-ACID
0.8400835394859314	0.758679	ACH-000006	DOCETAXEL
0.5594907402992249	0.622253	ACH-000006	ZSTK-474
0.590286910533905	0.786729	ACH-000006	SORAFENIB
0.947407066822052	0.8188310000000001	ACH-000006	CANERTINIB
0.34944817423820496	0.46576	ACH-000006	AZ960
0.9325891733169556	0.969292	ACH-000006	GSK591
0.6510680913925171	0.7444029999999999	ACH-000006	OBATOCLAX
0.53057461977005	0.587823	ACH-000006	PFI-1
0.9120296835899353	0.8071189999999999	ACH-000006	TPCA-1
0.5276475548744202	0.55118	ACH-000006	CP466722
0.474935382604599	0.649373	ACH-000006	NILOTINIB
0.7106249332427979	0.633933	ACH-000006	(5Z)-7-OXOZEAENOL
0.9629155397415161	0.943643	ACH-000006	SUNITINIB
0.6632106900215149	0.176396	ACH-000006	JW-7-24-1
0.8708646297454834	0.798329	ACH-000006	TOPOTECAN
0.8130620718002319	0.8560620000000001	ACH-000006	PONATINIB
0.9665145874023438	0.969943	ACH-000006	PFI-3
0.9322879314422607	0.958657	ACH-000006	MIDOSTAURIN
0.9478050470352173	0.878677	ACH-000006	TENOVIN-6
0.9454208612442017	0.971186	ACH-000006	DAPORINAD
0.7297941446304321	0.930733	ACH-000006	VENOTOCLAX
0.9589182734489441	0.962793	ACH-000006	EHT-1864
0.7707424759864807	0.53361	ACH-000006	S-TRITYL-L-CYSTEINE
0.9557777047157288	0.932659	ACH-000006	BVD-523
0.9429877400398254	0.869133	ACH-000006	SN-38
0.650764524936676	0.651664	ACH-000006	TIPIFARNIB
0.3443466126918793	0.42308	ACH-000006	CETUXIMAB
0.9608198404312134	0.923566	ACH-000006	TANESPIMYCIN
0.6155851483345032	0.047242	ACH-000006	ABT-737
0.941362738609314	0.907945	ACH-000006	CYCLOPAMINE
0.699251651763916	0.8911	ACH-000006	TENIPOSIDE
0.9414572715759277	0.963533	ACH-000006	XAV-939
0.856011688709259	0.70821	ACH-000006	AT-7519
0.9608645439147949	0.988167	ACH-000006	MPS-1-IN-1
0.7495556473731995	0.660181	ACH-000006	BMS-345541
0.9461004734039307	0.960262	ACH-000006	SB-525334
0.4865817427635193	0.280201	ACH-000006	KOBE2602
0.63656085729599	0.602075	ACH-000006	CAP-232, TT-232, TLN-232
0.9597747325897217	0.981678	ACH-000006	ROSCOVITINE
0.35753509402275085	0.389405	ACH-000006	JNJ-38877605
0.5641891360282898	0.465406	ACH-000006	EX-527
0.959304690361023	0.959876	ACH-000006	QL-XII-47
0.7674285769462585	0.518748	ACH-000006	TEMSIROLIMUS
0.4310116469860077	0.406048	ACH-000006	KRAS (G12C) INHIBITOR-12
0.9642573595046997	0.975992	ACH-000006	TALAZOPARIB
0.8304992318153381	0.8067489999999999	ACH-000006	IRINOTECAN
0.9448469877243042	0.912041	ACH-000006	VORINOSTAT
0.945023238658905	0.975451	ACH-000006	SALUBRINAL
0.9229901432991028	0.731089	ACH-000006	CYCLOPHOSPHAMIDE
0.9420031309127808	0.908597	ACH-000006	AR-42
0.9328331351280212	0.936582	ACH-000006	BI-2536
0.9543038010597229	0.975943	ACH-000006	AZD3759
0.36527860164642334	0.677884	ACH-000006	FORETINIB
0.9468047618865967	0.979776	ACH-000006	SHIKONIN
0.9461929798126221	0.983549	ACH-000006	I-BET-762
0.8062145709991455	0.725659	ACH-000006	BAM7
0.7442916035652161	0.725896	ACH-000006	PARTHENOLIDE
0.6629048585891724	0.894592	ACH-000006	MASITINIB
0.7821263670921326	0.719978	ACH-000006	ETOPOSIDE
0.6454010009765625	0.398738	ACH-000006	PANOBINOSTAT
0.9335991740226746	0.955588	ACH-000006	SAVOLITINIB
0.3765743374824524	0.206621	ACH-000006	QS-11
0.926693856716156	0.922449	ACH-000006	MOTESANIB
0.9673912525177002	0.976382	ACH-000006	TOZASERTIB
0.847756028175354	0.8184939999999999	ACH-000006	TAK-715
0.9464442133903503	0.778057	ACH-000006	AZD8186
0.9211997985839844	0.9224	ACH-000006	ZIBOTENTAN
0.8719786405563354	0.788618	ACH-000006	DACTINOMYCIN
0.8501265048980713	0.8657819999999999	ACH-000006	UNC1215
0.2834371030330658	0.336323	ACH-000006	ARA-G
0.9322929382324219	0.898748	ACH-000006	GW-441756
0.9074952602386475	0.863032	ACH-000006	LCL-161
0.9050185680389404	0.961494	ACH-000006	GSK1059615
0.9606009721755981	0.992213	ACH-000006	GW-843682X
0.8069764375686646	0.861648	ACH-000006	PILARALISIB
0.7252769470214844	0.78173	ACH-000006	QL-VIII-58
0.7704301476478577	0.737892	ACH-000006	VNLG/124
0.8377280235290527	0.680948	ACH-000006	NELARABINE
0.8893248438835144	0.880601	ACH-000006	BMS-536924
0.5787844657897949	0.7210449999999999	ACH-000006	SB-216763
0.9267511367797852	0.960529	ACH-000006	LEFLUNOMIDE
0.640038013458252	0.7463609999999999	ACH-000006	ENTINOSTAT
0.9549422860145569	0.959237	ACH-000006	AT7867
0.543879508972168	0.266177	ACH-000006	TASELISIB
0.9570898413658142	0.920214	ACH-000006	WEHI-539
0.9412859082221985	0.935634	ACH-000006	LJI308
0.9470754265785217	0.926596	ACH-000006	APABETALONE
0.9581166505813599	0.295254	ACH-000006	BLEOMYCIN
0.925378680229187	0.936611	ACH-000006	BAY-61-3606
0.950069785118103	0.960453	ACH-000006	GSK269962
0.7893622517585754	0.765594	ACH-000006	DMOG
0.9524998664855957	0.89684	ACH-000006	C-75
0.7852121591567993	0.4792939999999999	ACH-000006	HG-5-113-01
0.7964439988136292	0.870064	ACH-000006	AS605240
0.8835985660552979	0.664805	ACH-000006	APITOLISIB
0.8863264322280884	0.975947	ACH-000006	YM-155
0.9614657163619995	0.984841	ACH-000006	OTX015
0.8150565028190613	0.6127060000000001	ACH-000006	JNK INHIBITOR VIII
0.2755282521247864	0.2194739999999999	ACH-000006	YM-201636
0.5472879409790039	0.542986	ACH-000006	IDELALISIB
0.7972257137298584	0.574685	ACH-000006	RIBOCICLIB
0.8416086435317993	0.726163	ACH-000006	APR-246
0.9628372192382812	0.978235	ACH-000006	TRAMETINIB
0.8246691823005676	0.811333	ACH-000006	ALVOCIDIB
0.6746982932090759	0.861232	ACH-000006	MIRIN
0.6357483863830566	0.197393	ACH-000006	PI-103
0.7083892822265625	0.320411	ACH-000006	VOXTALISIB
0.5067995190620422	0.793313	ACH-000006	FR-180204
0.9087482690811157	0.974113	ACH-000006	ETP-45835
